"language";"availableLanguages";"uri";"title";"type";"source";"represents"
"en";"en,any";"/docs/projects/cnect/6/248376/080/deliverables/001-EuroAfricaICTD22CooperationEvents.pdf";"D2.2";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/1/216751/080/deliverables/REWIND-D23-OperatorMarketResearch-v2.pdf";"Operator market research";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/248804/080/publishing/logo1/ComplexEnergyLogoweb.png";"ComplexEnergy";"relatedImage";"ppm";"projectLogo"
"en";"en,any";"/docs/projects/cnect/4/248804/080/publishing/logo2/ComplexEnergyLogoweb.png";"ComplexEnergy";"relatedImage";"ppm";"projectLogo"
"en";"en,any";"/docs/projects/cnect/0/247970/080/deliverables/001-ISTAfricaD223BilateralCooperationYear1v10041010.pdf";"Synergies with Bilateral Cooperation Initiatives";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/247970/080/deliverables/001-ISTAfrica2010D441ConferenceReport210610.pdf";"IST-Africa 2010 Conference & Exhibition";"relatedPrint";"ppm";""
"en";"en";"/docs/projects/cnect/0/247970/080/reports/001-D52PPR2PublishableSummary13022012.pdf";"Publishable Summary";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/247970/080/deliverables/001-ISTAfrica201011D332EuropeanWorkshops301110.pdf";"European IST-Africa Workshops within existing European Conferences";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/247970/080/deliverables/001-ISTAfrica201011D333TrainingWorkshopsv12310311.pdf";"African IST-Africa Training workshopsv2";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/247970/080/deliverables/001-ISTAfrica201011D333TrainingWorkshopsv1301109.pdf";"African IST-Africa Training workshops";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/247970/080/deliverables/001-ISTAfrica201011D11070110.pdf";"IST-Africa Portal, Promotion and Dissemination";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/247970/080/deliverables/001-ISTAfrica201011D442ConferenceReport270611.pdf";"IST-Africa 2011 Conference & Exhibition";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/247970/080/deliverables/001-D52PPR2PublishableSummary130220122.pdf";"PPR2 - Publishable Summary";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/247970/080/reports/001-ISTAfrica201011D51PPR1PublishableSummary311110.pdf";"publishable Summary";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/611074/080/deliverables/001-FETARTFinalReport.pdf";"final report";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/296116/080/publishing/logo1/logo-efit-2012-02-021.jpg";"EUROFIT Logo";"relatedImage";"ppm";"projectLogo"
"en";"en,any";"/docs/projects/cnect/6/296116/080/publishing/readmore/Pubblishable-summary-140905.pdf";"EUROFIT Publishable summary 2014";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/296116/080/publishing/readmore/EUROFIT-pubblishable-summary-Y1-2013.pdf";"EUROFIT_PublishSummary_2013";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/296116/080/publishing/readmore/Eurofit-factsheet.pdf";"EUROFIT Factsheet";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/296150/080/publishing/logo1/CODELogo.png";"CODE Logo";"relatedImage";"ppm";"projectLogo"
"en";"en,any";"/docs/projects/cnect/0/296150/080/publishing/readmore/CODE-Publishable-Summary-Y1-2013.pdf";"CODE_PublishSummary_2013";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/296150/080/publishing/readmore/02-Publishable-Summary-CODE2014.pdf";"CODE publishable summary 2014";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/296150/080/publishing/readmore/code-fact-sheet.pdf";"CODE Factsheet";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/4/231954/080/publishing/logo1/KEEP.png";"KEEP project logo";"relatedImage";"ppm";"projectLogo"
"en";"en,any";"/docs/projects/cnect/4/231954/080/deliverables/001-KEEPWP3D35v10.pdf";"Document recommending scaleable generic metadata structures for international archiving standards";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/2/318202/080/deliverables/001-D61ProjectWebsite2ndResubmission.pdf";"Project Website";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/2/318202/080/deliverables/001-BIOMICSD41CandidateforaCoalgebraicInteractionComputingSpecificationLanguage.pdf";"Candidate for a (Co)Algebraic Interaction Computing Specification Language";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/2/318202/080/deliverables/001-D331AlgebraicAnalysisofSimpleComputerScienceSystemsResubmission.pdf";"Algebraic Analysis of Simple Computer Science Systems";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/2/318202/080/publishing/logo1/BIOMICS-logo.jpg";"BIOMICS logo";"relatedImage";"ppm";"projectLogo"
"en";"en,any";"/docs/projects/cnect/2/318202/080/deliverables/001-D111TractableDynamicalandBiologicalSystemsforNumericalDiscreteandLieGroupAnalysis.pdf";"Tractable Dynamical and Biological Systems for Numerical, Discrete, and Lie Group Analysis";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/2/318202/080/deliverables/001-BiomicsD62Nov2014.pdf";"BIOMICS Logo, Brochure & Poster UPDATE";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/2/318202/080/reports/001-BIOMICSPR3PublishableSummary.pdf";"FP";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/2/318202/080/deliverables/001-D631BIOMICSYear1Newsletterresubmission.pdf";"Year 1 BIOMICS Newsletter and Press Releases";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/2/318202/080/deliverables/002-D131BIOMICSIntroductiontotheChevalleyCorrespondencebetweenLieGroupsandSNAGs.pdf";"Introduction to the Chevalley Correspondence between Lie Groups and SNAGs";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/1/288691/080/deliverables/001-D42ISTAfrica2013ConferenceExhibitionReport14072013.pdf";"IST-Africa 2013 Conference & Exhibition Report";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/1/288691/080/deliverables/001-D41ISTAfrica2012ConferenceReport.pdf";"tbd";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/1/288691/080/reports/001-ISTAfrica201213D52PPR2PublishableSummary.pdf";"Publishable summary";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/1/288691/080/deliverables/001-ISTAfrica201213D31EuropeanWorkshop291112.pdf";"see above";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/1/288691/080/reports/001-ISTAfrica201213D51PPR1PublishableSummary1212122.pdf";"Publishable summary";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/5/611795/080/deliverables/001-D41ISTAfrica2014ConferenceReport05062014.pdf";"IST-Africa 2014 Annual Conference Report";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/9/318729/080/publishing/logo1/CAReIOCA-logo.PNG";"CAReIOCA";"relatedImage";"ppm";"projectLogo"
"en";"en,any";"/docs/projects/cnect/5/600785/080/publishing/logo1/Header.jpg";"Project SpaceCog header";"relatedImage";"ppm";"projectLogo"
"en";"en,any";"/docs/projects/cnect/6/247706/080/deliverables/001-MAINSD43final.pdf";"D4.3 - final version";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/247706/080/deliverables/001-MAINSD53.pdf";"D5.3 ""Dissemination activities in the second half\nof the project""";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/247706/080/deliverables/002-MAINSWP3D35final.pdf";"D3.5 Implementation of the centralized MAINS\nPCE - final version";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/247706/080/deliverables/002-MAINSWP4D45.pdf";"D4.5 final version";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/247706/080/deliverables/001-MAINSWP4D42.pdf";"Deliverable D4.2";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/247706/080/deliverables/001-MAINSWP4D45pdfupdated.pdf";"D4.5 ""Implementation of sub-lambda assignment\nelement""";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/247706/080/deliverables/001-D13IndustrialapplicationofMAINSsolutionsandtheirimpactonfuturebroadbanddemandvfinal7.pdf";"D1.3 -final version";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/247706/080/deliverables/001-MAINSD41Final.pdf";"Deliverable D4.1";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/247706/080/deliverables/002-MAINSD53.pdf";"Deliverable 5.3 - final version";"relatedPrint";"ppm";""
