"projectID";"physUrl";"id";"availableLanguages";"status";"archivedDate";"type";"source";"represents"
"291841";"http://www.scl.rs/scl-projects/active-projects/752";"8ebd2a7e1c08fd3b5fcf204e36b40aaf";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"245749";"http://www.acmac.uoc.gr";"75292d7d5d3d0e8b68ad1534d75a744d";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"305457";"http://www.sysclad.eu";"a979c5e355490b7cccfa48e808624d12";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"260123";"http://www.nanofoam.eu";"232da5a66fe0938457498d43ac6aebde";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"278122";"http://www.nanoethics2011.pan.pl";"de430efcbe00ffe131192e3d531544d3";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"608133";"https://ec.europa.eu/research-and-innovation/en/projects/success-stories/all/new-microscope-technologies-light-vital-medical-research";"4b403e0ef0cb46c0cc3836e625442a8b";"en";"";"";"relatedStory";"rtd";"project"
"283283";"http://www.wi-health.eu.";"6438ea185559c0537accc60b81c601b7";"en";"invalid";"2022-04-26 00:00:00";"relatedWebsite";"sesam";"project"
"608303";"https://arquivo.pt/url/search?l=en&q=http://www.leila-project.eu";"dc2490e7c97163c017549b2c625ac499";"en";"webArchive";"2023-10-16 00:00:00";"relatedWebsite";"editorial";"project"
"608303";"http://www.leila-project.eu/";"3f91eaa830001570f579cc39c79b5a1d";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"294299";"http://www.sens-era.eu";"31357b9161eaf36dd44fce03350ad76c";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"318729";"http://www.careioca.eu";"b303b5818cbd6b4f46ac73e90554b5a1";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"ppm";"project"
"608174";"https://ec.europa.eu/research-and-innovation/en/projects/success-stories/all/new-tool-monitoring-security-eus-borders";"074843f37441deb18bfec472daaab5f5";"en";"";"";"relatedStory";"rtd";"project"
"334444";"http://robotics.ozyegin.edu.tr/heart-surgery-robot/";"4eadf859c4cbd1e0faa24d27d0582e23";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"295759";"https://ec.europa.eu/research-and-innovation/en/projects/success-stories/all/centre-stage-vital-social-role-applied-theatre";"26c867d9012d4da3ac8400b706d66dc6";"en";"";"";"relatedStory";"rtd";"project"
"262949";"http://www.watplan.eu";"4c46b57aeb07b9147bb0851a69638a8b";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"262949";"http://www.watplan.eu";"4c46b57aeb07b9147bb0851a69638a8b";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"302078";"https://ec.europa.eu/research-and-innovation/en/projects/success-stories/all/advancing-womens-health-through-scientific-mobility";"301e5f783171fe5be9650ff6c57ab17f";"en";"";"";"relatedStory";"rtd";"project"
"262184";"http://www.fp7-prometheus.eu";"05fb10c624c922c6671e5bfb3fe93a03";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"603394";"http://www.pyrochar.eu";"3d62f1b1a32d6535a2b9248f7c2acc62";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"281096";"https://ec.europa.eu/research-and-innovation/en/projects/success-stories/all/eyeing-food-supplements-healthy-vision";"0f4263d77a028afbf773e80858ca10db";"en";"";"";"relatedStory";"rtd";"project"
"281096";"https://arquivo.pt/url/search?l=en&q=http://www.mprg.ie";"f6fcc08ebfb72d84b50eeb3e6192e6dc";"en";"webArchive";"2023-06-12 16:54:59";"relatedWebsite";"editorial";"project"
"281096";"http://www.mprg.ie";"aeafef224969ab48a64c4e2c58910186";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"260715";"http://www.dkfz.de/en/molgen_epidemiology/EUNAM/EUNAM.html";"5681a52b71a1596236ba7c6451ff0b60";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"217504";"http://enacting-citizenship.eu/";"6860e500ea15ecb841ca927c2d770f20";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"247518";"http://www.onda.unimore.it";"99783e58180252a075a16625a6bd7793";"en";"invalid";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"290455";"http://www.ecamm.eu/";"0cdb1889e5c36c1f7309f8853db65c92";"en";"invalid";"2022-04-26 00:00:00";"relatedWebsite";"corda";"project"
"290455";"https://arquivo.pt/wayback/20160314100923/http://www.ecamm.eu/";"876e0c5894071b02576f2f027daee969";"en";"webArchive";"2024-02-02 00:00:00";"relatedWebsite";"editorial";"project"
"269285";"http://www.vhir.org/larecerca/grupsrecerca/ca_grups_projectes.asp";"6ab0cce55d21aa09d897581cb2407421";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"600785";"http://www.spacecog.eu/project/index.html";"d4e5c61251a0b21089d7959230f1981a";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"ppm";"project"
"622890";"https://ec.europa.eu/research-and-innovation/en/projects/success-stories/all/mathematical-modellers-focus-mouse-lens";"5beec157890cb63f24a5d50777e99c15";"en";"";"";"relatedStory";"rtd";"project"
"631962";"https://ec.europa.eu/research-and-innovation/en/projects/success-stories/all/precise-way-measure-building-blocks-universe";"fe4fbb77f434cb56706f99bed7f0e945";"en";"";"";"relatedStory";"rtd";"project"
"295196";"http://perso.univ-perp.fr/kalmykov/DMH.htm";"53a6659235e2381ee7f187c3094ec418";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"299112";"http://pariscracowvenice.wordpress.com/";"e046bbf49243f3e2b19bbe1f599e7ce4";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"605093";"http://www.caesaris.eu/en/";"36d2ac9b690f7269228f69fb03758bff";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"222303";"http://www.firerob.info";"fbf57271975809d8778a4fb3ad7aa981";"en";"invalid";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"605509";"http://advocate-fp7.eu/";"58f2bac494f996b1943c9188c42f9925";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"218416";"http://www.cleanhive.eu/";"0898b5324ea83d19847c18d51b4792b9";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
"314839";"http://www.remo-project.eu.";"651c195fd22c2e5bcc625a1cd5006546";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"314839";"http://remo-project.eu/";"3a310ca771e9f97c214219520439a630";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"262039";"http://www.polysense.eu";"634361c5874534f5b2e3ce8223fdfef0";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"222021";"http://www.probio-hysens.eu";"48b27a2e320d332750324697e0ff0f92";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"corda";"project"
